id,mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,name
3,16.0,8,304.0,150.0,3433,12.0,70,usa,amc rebel sst
18,27.0,4,97.0,88.0,2130,14.5,70,japan,datsun pl510
376,37.0,4,91.0,68.0,2025,18.2,82,japan,mazda glc custom l
248,36.1,4,91.0,60.0,1800,16.4,78,japan,honda civic cvcc
177,23.0,4,115.0,95.0,2694,15.0,75,europe,audi 100ls
63,14.0,8,400.0,175.0,4385,12.0,72,usa,pontiac catalina
246,32.8,4,78.0,52.0,1985,19.4,78,japan,mazda glc deluxe
352,29.9,4,98.0,65.0,2380,20.7,81,usa,ford escort 2h
108,20.0,4,97.0,88.0,2279,19.0,73,japan,toyota carina
90,12.0,8,429.0,198.0,4952,11.5,73,usa,mercury marquis brougham
231,15.5,8,400.0,190.0,4325,12.2,77,usa,chrysler cordoba
334,23.7,3,70.0,100.0,2420,12.5,80,japan,mazda rx-7 gs
118,24.0,4,116.0,75.0,2158,15.5,73,europe,opel manta
218,36.0,4,79.0,58.0,1825,18.6,77,europe,renault 5 gtl
210,19.0,6,156.0,108.0,2930,15.5,76,japan,toyota mark ii
378,38.0,4,105.0,63.0,2125,14.7,82,usa,plymouth horizon miser
371,29.0,4,135.0,84.0,2525,16.0,82,usa,dodge aries se
280,21.5,6,231.0,115.0,3245,15.4,79,usa,pontiac lemans v6
323,27.9,4,156.0,105.0,2800,14.4,80,usa,dodge colt
75,14.0,8,318.0,150.0,4077,14.0,72,usa,plymouth satellite custom (sw)
245,36.1,4,98.0,66.0,1800,14.4,78,usa,ford fiesta
110,22.0,4,108.0,94.0,2379,16.5,73,japan,datsun 610
16,18.0,6,199.0,97.0,2774,15.5,70,usa,amc hornet
66,17.0,8,304.0,150.0,3672,11.5,72,usa,amc ambassador sst
153,18.0,6,250.0,105.0,3459,16.0,75,usa,chevrolet nova
7,14.0,8,440.0,215.0,4312,8.5,70,usa,plymouth fury iii
19,26.0,4,97.0,46.0,1835,20.5,70,europe,volkswagen 1131 deluxe sedan
137,13.0,8,350.0,150.0,4699,14.5,74,usa,buick century luxus (sw)
353,33.0,4,105.0,74.0,2190,14.2,81,europe,volkswagen jetta
347,37.0,4,85.0,65.0,1975,19.4,81,japan,datsun 210 mpg
131,32.0,4,71.0,65.0,1836,21.0,74,japan,toyota corolla 1200
182,28.0,4,107.0,86.0,2464,15.5,76,europe,fiat 131
291,19.2,8,267.0,125.0,3605,15.0,79,usa,chevrolet malibu classic (sw)
384,32.0,4,91.0,67.0,1965,15.7,82,japan,honda civic (auto)
296,27.4,4,121.0,80.0,2670,15.0,79,usa,amc spirit dl
60,20.0,4,140.0,90.0,2408,19.5,72,usa,chevrolet vega
79,26.0,4,96.0,69.0,2189,18.0,72,europe,renault 12 (sw)
284,20.6,6,225.0,110.0,3360,16.6,79,usa,dodge aspen 6
304,37.3,4,91.0,69.0,2130,14.7,79,europe,fiat strada custom
277,16.2,6,163.0,133.0,3410,15.8,78,europe,peugeot 604sl
157,15.0,8,350.0,145.0,4440,14.0,75,usa,chevrolet bel air
109,21.0,4,140.0,72.0,2401,19.5,73,usa,chevrolet vega
17,21.0,6,200.0,85.0,2587,16.0,70,usa,ford maverick
253,20.5,6,200.0,95.0,3155,18.2,78,usa,chevrolet malibu
24,21.0,6,199.0,90.0,2648,15.0,70,usa,amc gremlin
361,25.4,6,168.0,116.0,2900,12.6,81,japan,toyota cressida
349,34.1,4,91.0,68.0,1985,16.0,81,japan,mazda glc 4
392,27.0,4,151.0,90.0,2950,17.3,82,usa,chevrolet camaro
379,36.0,4,98.0,70.0,2125,17.3,82,usa,mercury lynx l
358,31.6,4,120.0,74.0,2635,18.3,81,japan,mazda 626
310,38.1,4,89.0,60.0,1968,18.8,80,japan,toyota corolla tercel
145,32.0,4,83.0,61.0,2003,19.0,74,japan,datsun 710
324,40.8,4,85.0,65.0,2110,19.2,80,japan,datsun 210
176,19.0,6,232.0,90.0,3211,17.0,75,usa,amc pacer
119,20.0,4,114.0,91.0,2582,14.0,73,europe,audi 100ls
192,22.0,6,250.0,105.0,3353,14.5,76,usa,chevrolet nova
202,17.5,6,258.0,95.0,3193,17.8,76,usa,amc pacer d/l
345,35.1,4,81.0,60.0,1760,16.1,81,japan,honda civic 1300
237,30.5,4,98.0,63.0,2051,17.0,77,usa,chevrolet chevette
355,33.7,4,107.0,75.0,2210,14.4,81,japan,honda prelude
36,19.0,6,250.0,88.0,3302,15.5,71,usa,ford torino 500
139,14.0,8,302.0,140.0,4638,16.0,74,usa,ford gran torino (sw)
290,15.5,8,351.0,142.0,4054,14.3,79,usa,ford country squire (sw)
155,15.0,6,250.0,72.0,3158,19.5,75,usa,ford maverick
194,22.5,6,232.0,90.0,3085,17.6,76,usa,amc hornet
195,29.0,4,85.0,52.0,2035,22.2,76,usa,chevrolet chevette
59,23.0,4,97.0,54.0,2254,23.5,72,europe,volkswagen type 3
111,18.0,3,70.0,90.0,2124,13.5,73,japan,maxda rx3
219,25.5,4,122.0,96.0,2300,15.5,77,usa,plymouth arrow gs
173,24.0,4,119.0,97.0,2545,17.0,75,japan,datsun 710
6,14.0,8,454.0,220.0,4354,9.0,70,usa,chevrolet impala
287,16.5,8,351.0,138.0,3955,13.2,79,usa,mercury grand marquis
274,20.3,5,131.0,103.0,2830,15.9,78,europe,audi 5000
150,26.0,4,108.0,93.0,2391,15.5,74,japan,subaru
10,15.0,8,383.0,170.0,3563,10.0,70,usa,dodge challenger se
331,33.8,4,97.0,67.0,2145,18.0,80,japan,subaru dl
103,11.0,8,400.0,150.0,4997,14.0,73,usa,chevrolet impala
81,28.0,4,97.0,92.0,2288,17.0,72,japan,datsun 510 (sw)
227,19.0,6,225.0,100.0,3630,17.7,77,usa,plymouth volare custom
239,30.0,4,97.0,67.0,1985,16.4,77,japan,subaru dl
299,27.2,4,141.0,71.0,3190,24.8,79,europe,peugeot 504
211,16.5,6,168.0,120.0,3820,16.7,76,europe,mercedes-benz 280s
167,29.0,4,97.0,75.0,2171,16.0,75,japan,toyota corolla
165,20.0,8,262.0,110.0,3221,13.5,75,usa,chevrolet monza 2+2
89,15.0,8,318.0,150.0,3777,12.5,73,usa,dodge coronet custom
265,17.5,8,318.0,140.0,4080,13.7,78,usa,dodge magnum xe
163,18.0,6,225.0,95.0,3785,19.0,75,usa,plymouth fury
147,24.0,4,90.0,75.0,2108,15.5,74,europe,fiat 128
283,20.2,6,232.0,90.0,3265,18.2,79,usa,amc concord dl 6
92,13.0,8,351.0,158.0,4363,13.0,73,usa,ford ltd
69,12.0,8,350.0,160.0,4456,13.5,72,usa,oldsmobile delta 88 royale
123,20.0,6,156.0,122.0,2807,13.5,73,japan,toyota mark ii
96,13.0,8,360.0,175.0,3821,11.0,73,usa,amc ambassador brougham
143,26.0,4,97.0,78.0,2300,14.5,74,europe,opel manta
302,34.5,4,105.0,70.0,2150,14.9,79,usa,plymouth horizon tc3
97,18.0,6,225.0,105.0,3121,16.5,73,usa,plymouth valiant
228,18.5,6,250.0,98.0,3525,19.0,77,usa,ford granada
68,13.0,8,350.0,155.0,4502,13.5,72,usa,buick lesabre custom
23,26.0,4,121.0,113.0,2234,12.5,70,europe,bmw 2002
37,18.0,6,232.0,100.0,3288,15.5,71,usa,amc matador
144,31.0,4,76.0,52.0,1649,16.5,74,japan,toyota corona
122,24.0,4,121.0,110.0,2660,14.0,73,europe,saab 99le
67,11.0,8,429.0,208.0,4633,11.0,72,usa,mercury marquis
250,19.4,8,318.0,140.0,3735,13.2,78,usa,dodge diplomat
357,32.9,4,119.0,100.0,2615,14.8,81,japan,datsun 200sx
278,31.5,4,89.0,71.0,1990,14.9,78,europe,volkswagen scirocco
316,19.1,6,225.0,90.0,3381,18.7,80,usa,dodge aspen
193,24.0,6,200.0,81.0,3012,17.6,76,usa,ford maverick
125,20.0,6,198.0,95.0,3102,16.5,74,usa,plymouth duster
146,28.0,4,90.0,75.0,2125,14.5,74,usa,dodge colt
233,29.0,4,97.0,78.0,1940,14.5,77,europe,volkswagen rabbit custom
86,14.0,8,304.0,150.0,3672,11.5,73,usa,amc matador
335,35.0,4,122.0,88.0,2500,15.1,80,europe,triumph tr7 coupe
203,29.5,4,97.0,71.0,1825,12.2,76,europe,volkswagen rabbit
336,23.6,4,140.0,,2905,14.3,80,usa,ford mustang cobra
223,15.5,8,318.0,145.0,4140,13.7,77,usa,dodge monaco brougham
258,20.6,6,231.0,105.0,3380,15.8,78,usa,buick century special
301,34.2,4,105.0,70.0,2200,13.2,79,usa,plymouth horizon
183,25.0,4,116.0,81.0,2220,16.9,76,europe,opel 1900
327,36.4,5,121.0,67.0,2950,19.9,80,europe,audi 5000s (diesel)
282,22.3,4,140.0,88.0,2890,17.3,79,usa,ford fairmont 4
209,19.0,4,120.0,88.0,3270,21.9,76,europe,peugeot 504
281,19.8,6,200.0,85.0,2990,18.2,79,usa,mercury zephyr 6
129,31.0,4,79.0,67.0,1950,19.0,74,japan,datsun b210
38,14.0,8,350.0,165.0,4209,12.0,71,usa,chevrolet impala
11,14.0,8,340.0,160.0,3609,8.0,70,usa,plymouth 'cuda 340
326,43.4,4,90.0,48.0,2335,23.7,80,europe,vw dasher (diesel)
185,26.0,4,98.0,79.0,2255,17.7,76,usa,dodge colt
220,33.5,4,85.0,70.0,1945,16.8,77,japan,datsun f-10 hatchback
112,19.0,4,122.0,85.0,2310,18.5,73,usa,ford pinto
179,22.0,4,121.0,98.0,2945,14.5,75,europe,volvo 244dl
268,27.2,4,119.0,97.0,2300,14.7,78,japan,datsun 510
333,32.7,6,168.0,132.0,2910,11.4,80,japan,datsun 280-zx
117,29.0,4,68.0,49.0,1867,19.5,73,europe,fiat 128
366,17.6,6,225.0,85.0,3465,16.6,81,usa,chrysler lebaron salon
374,23.0,4,151.0,,3035,20.5,82,usa,amc concord dl
382,34.0,4,108.0,70.0,2245,16.9,82,japan,toyota corolla
286,17.6,8,302.0,129.0,3725,13.4,79,usa,ford ltd landau
360,30.7,6,145.0,76.0,3160,19.6,81,europe,volvo diesel
164,21.0,6,231.0,110.0,3039,15.0,75,usa,buick skyhawk
385,38.0,4,91.0,67.0,1995,16.2,82,japan,datsun 310 gx
136,16.0,8,302.0,140.0,4141,14.0,74,usa,ford gran torino
154,15.0,6,250.0,72.0,3432,21.0,75,usa,mercury monarch
199,20.0,6,225.0,100.0,3651,17.7,76,usa,dodge aspen se
197,29.0,4,90.0,70.0,1937,14.2,76,europe,vw rabbit
390,32.0,4,144.0,96.0,2665,13.9,82,japan,toyota celica gt
2,18.0,8,318.0,150.0,3436,11.0,70,usa,plymouth satellite
204,32.0,4,85.0,70.0,1990,17.0,76,japan,datsun b-210
115,15.0,8,350.0,145.0,4082,13.0,73,usa,chevrolet monte carlo s
232,16.0,8,351.0,149.0,4335,14.5,77,usa,ford thunderbird
369,34.0,4,112.0,88.0,2395,18.0,82,usa,chevrolet cavalier 2-door
26,10.0,8,307.0,200.0,4376,15.0,70,usa,chevy c20
120,19.0,4,121.0,112.0,2868,15.5,73,europe,volvo 144ea
305,28.4,4,151.0,90.0,2670,16.0,79,usa,buick skylark limited
224,15.0,8,302.0,130.0,4295,14.9,77,usa,mercury cougar brougham
346,32.3,4,97.0,67.0,2065,17.8,81,japan,subaru
266,30.0,4,98.0,68.0,2155,16.5,78,usa,chevrolet chevette
314,26.4,4,140.0,88.0,2870,18.1,80,usa,ford fairmont
342,30.0,4,135.0,84.0,2385,12.9,81,usa,plymouth reliant
127,19.0,6,232.0,100.0,2901,16.0,74,usa,amc hornet
74,13.0,8,302.0,140.0,4294,16.0,72,usa,ford gran torino (sw)
321,32.2,4,108.0,75.0,2265,15.2,80,japan,toyota corolla
29,27.0,4,97.0,88.0,2130,14.5,71,japan,datsun pl510
83,28.0,4,98.0,80.0,2164,15.0,72,usa,dodge colt (sw)
329,44.6,4,91.0,67.0,1850,13.8,80,japan,honda civic 1500 gl
107,18.0,6,232.0,100.0,2789,15.0,73,usa,amc gremlin
247,39.4,4,85.0,70.0,2070,18.6,78,japan,datsun b210 gx
255,25.1,4,140.0,88.0,2720,15.4,78,usa,ford fairmont (man)
133,16.0,6,250.0,100.0,3781,17.0,74,usa,chevrolet chevelle malibu classic
244,43.1,4,90.0,48.0,1985,21.5,78,europe,volkswagen rabbit custom diesel
184,25.0,4,140.0,92.0,2572,14.9,76,usa,capri ii
289,16.9,8,350.0,155.0,4360,14.9,79,usa,buick estate wagon (sw)
44,13.0,8,400.0,175.0,5140,12.0,71,usa,pontiac safari (sw)
365,20.2,6,200.0,88.0,3060,17.1,81,usa,ford granada gl
65,14.0,8,351.0,153.0,4129,13.0,72,usa,ford galaxie 500
320,37.0,4,119.0,92.0,2434,15.0,80,japan,datsun 510 hatchback
85,13.0,8,350.0,175.0,4100,13.0,73,usa,buick century 350
242,21.5,4,121.0,110.0,2600,12.8,77,europe,bmw 320i
186,27.0,4,101.0,83.0,2202,15.3,76,europe,renault 12tl
159,14.0,8,351.0,148.0,4657,13.5,75,usa,ford ltd
12,15.0,8,400.0,150.0,3761,9.5,70,usa,chevrolet monte carlo
35,17.0,6,250.0,100.0,3329,15.5,71,usa,chevrolet chevelle malibu
28,9.0,8,304.0,193.0,4732,18.5,70,usa,hi 1200d
170,23.0,4,140.0,78.0,2592,18.5,75,usa,pontiac astro
142,26.0,4,79.0,67.0,1963,15.5,74,europe,volkswagen dasher
317,34.3,4,97.0,78.0,2188,15.8,80,europe,audi 4000
271,23.2,4,156.0,105.0,2745,16.7,78,usa,plymouth sapporo
221,17.5,8,305.0,145.0,3880,12.5,77,usa,chevrolet caprice classic
95,12.0,8,455.0,225.0,4951,11.0,73,usa,buick electra 225 custom
51,30.0,4,79.0,70.0,2074,19.5,71,europe,peugeot 304
240,30.5,4,97.0,78.0,2190,14.1,77,europe,volkswagen dasher
297,25.4,5,183.0,77.0,3530,20.1,79,europe,mercedes benz 300d
325,44.3,4,90.0,48.0,2085,21.7,80,europe,vw rabbit c (diesel)
178,23.0,4,120.0,88.0,2957,17.0,75,europe,peugeot 504
41,14.0,8,318.0,150.0,4096,13.0,71,usa,plymouth fury iii
332,29.8,4,89.0,62.0,1845,15.3,80,europe,vokswagen rabbit
206,26.5,4,140.0,72.0,2565,13.6,76,usa,ford pinto
254,20.2,6,200.0,85.0,2965,15.8,78,usa,ford fairmont (auto)
387,38.0,6,262.0,85.0,3015,17.0,82,usa,oldsmobile cutlass ciera (diesel)
4,17.0,8,302.0,140.0,3449,10.5,70,usa,ford torino
256,20.5,6,225.0,100.0,3430,17.2,78,usa,plymouth volare
356,32.4,4,108.0,75.0,2350,16.8,81,japan,toyota corolla
100,18.0,6,250.0,88.0,3021,16.5,73,usa,ford maverick
226,20.5,6,231.0,105.0,3425,16.9,77,usa,buick skylark
340,25.8,4,156.0,92.0,2620,14.4,81,usa,dodge aries wagon (sw)
213,13.0,8,350.0,145.0,4055,12.0,76,usa,chevy c10
171,24.0,4,134.0,96.0,2702,13.5,75,japan,toyota corona
98,16.0,6,250.0,100.0,3278,18.0,73,usa,chevrolet nova custom
215,13.0,8,318.0,150.0,3755,14.0,76,usa,dodge d100
61,21.0,4,122.0,86.0,2226,16.5,72,usa,ford pinto runabout
47,19.0,6,250.0,100.0,3282,15.0,71,usa,pontiac firebird
32,25.0,4,98.0,,2046,19.0,71,usa,ford pinto
267,27.5,4,134.0,95.0,2560,14.2,78,japan,toyota corona
200,18.0,6,250.0,78.0,3574,21.0,76,usa,ford granada ghia
354,34.5,4,100.0,,2320,15.8,81,europe,renault 18i
27,11.0,8,318.0,210.0,4382,13.5,70,usa,dodge d200
311,32.1,4,98.0,70.0,2120,15.5,80,usa,chevrolet chevette
230,15.5,8,350.0,170.0,4165,11.4,77,usa,chevrolet monte carlo landau
260,18.6,6,225.0,110.0,3620,18.7,78,usa,dodge aspen
288,18.2,8,318.0,135.0,3830,15.2,79,usa,dodge st. regis
162,15.0,6,258.0,110.0,3730,19.0,75,usa,amc matador
338,27.2,4,135.0,84.0,2490,15.7,81,usa,plymouth reliant
138,14.0,8,318.0,150.0,4457,13.5,74,usa,dodge coronet custom (sw)
62,13.0,8,350.0,165.0,4274,12.0,72,usa,chevrolet impala
135,18.0,6,225.0,105.0,3613,16.5,74,usa,plymouth satellite sebring
128,15.0,6,250.0,100.0,3336,17.0,74,usa,chevrolet nova
8,14.0,8,455.0,225.0,4425,10.0,70,usa,pontiac catalina
64,15.0,8,318.0,150.0,4135,13.5,72,usa,plymouth fury iii
300,23.9,8,260.0,90.0,3420,22.2,79,usa,oldsmobile cutlass salon brougham
14,24.0,4,113.0,95.0,2372,15.0,70,japan,toyota corona mark ii
156,16.0,8,400.0,170.0,4668,11.5,75,usa,pontiac catalina
40,14.0,8,351.0,153.0,4154,13.5,71,usa,ford galaxie 500
364,26.6,8,350.0,105.0,3725,19.0,81,usa,oldsmobile cutlass ls
322,46.6,4,86.0,65.0,2110,17.9,80,japan,mazda glc
216,31.5,4,98.0,68.0,2045,18.5,77,japan,honda accord cvcc
279,29.5,4,98.0,68.0,2135,16.6,78,japan,honda accord lx
368,27.0,4,112.0,88.0,2640,18.6,82,usa,chevrolet cavalier wagon
236,25.5,4,140.0,89.0,2755,15.8,77,usa,ford mustang ii 2+2
207,20.0,4,130.0,102.0,3150,15.7,76,europe,volvo 245
212,16.5,8,350.0,180.0,4380,12.1,76,usa,cadillac seville
295,35.7,4,98.0,80.0,1915,14.4,79,usa,dodge colt hatchback custom
362,24.2,6,146.0,120.0,2930,13.8,81,japan,datsun 810 maxima
251,20.2,8,302.0,139.0,3570,12.8,78,usa,mercury monarch ghia
388,26.0,4,156.0,92.0,2585,14.5,82,usa,chrysler lebaron medallion
363,22.4,6,231.0,110.0,3415,15.8,81,usa,buick century
303,31.8,4,85.0,65.0,2020,19.2,79,japan,datsun 210
269,30.9,4,105.0,75.0,2230,14.5,78,usa,dodge omni
201,18.5,6,250.0,110.0,3645,16.2,76,usa,pontiac ventura sj
161,16.0,6,250.0,105.0,3897,18.5,75,usa,chevroelt chevelle malibu
43,13.0,8,400.0,170.0,4746,12.0,71,usa,ford country squire (sw)
217,30.0,4,111.0,80.0,2155,14.8,77,usa,buick opel isuzu deluxe
190,14.5,8,351.0,152.0,4215,12.8,76,usa,ford gran torino
309,41.5,4,98.0,76.0,2144,14.7,80,europe,vw rabbit
259,20.8,6,200.0,85.0,3070,16.7,78,usa,mercury zephyr
105,13.0,8,360.0,170.0,4654,13.0,73,usa,plymouth custom suburb
53,31.0,4,71.0,65.0,1773,19.0,71,japan,toyota corolla 1200
1,15.0,8,350.0,165.0,3693,11.5,70,usa,buick skylark 320
49,23.0,4,122.0,86.0,2220,14.0,71,usa,mercury capri 2000
80,22.0,4,122.0,86.0,2395,16.0,72,usa,ford pinto (sw)
205,28.0,4,97.0,75.0,2155,16.4,76,japan,toyota corolla
34,16.0,6,225.0,105.0,3439,15.5,71,usa,plymouth satellite custom
263,17.7,6,231.0,165.0,3445,13.4,78,usa,buick regal sport coupe (turbo)
91,13.0,8,400.0,150.0,4464,12.0,73,usa,chevrolet caprice classic
339,26.6,4,151.0,84.0,2635,16.4,81,usa,buick skylark
52,30.0,4,88.0,76.0,2065,14.5,71,europe,fiat 124b
264,18.1,8,302.0,139.0,3205,11.2,78,usa,ford futura
241,22.0,6,146.0,97.0,2815,14.5,77,japan,datsun 810
13,14.0,8,455.0,225.0,3086,10.0,70,usa,buick estate wagon (sw)
315,24.3,4,151.0,90.0,3003,20.1,80,usa,amc concord
88,14.0,8,302.0,137.0,4042,14.5,73,usa,ford gran torino
273,23.9,4,119.0,97.0,2405,14.9,78,japan,datsun 200-sx
166,13.0,8,302.0,129.0,3169,12.0,75,usa,ford mustang ii
328,30.0,4,146.0,67.0,3250,21.8,80,europe,mercedes-benz 240d
391,36.0,4,135.0,84.0,2370,13.0,82,usa,dodge charger 2.2
134,16.0,6,258.0,110.0,3632,18.0,74,usa,amc matador
306,28.8,6,173.0,115.0,2595,11.3,79,usa,chevrolet citation
381,36.0,4,107.0,75.0,2205,14.5,82,japan,honda accord
319,31.3,4,120.0,75.0,2542,17.5,80,japan,mazda 626
243,21.5,3,80.0,110.0,2720,13.5,77,japan,mazda rx-4
54,35.0,4,72.0,69.0,1613,18.0,71,japan,datsun 1200
50,28.0,4,116.0,90.0,2123,14.0,71,europe,opel 1900
174,18.0,6,171.0,97.0,2984,14.5,75,usa,ford pinto
189,15.5,8,304.0,120.0,3962,13.9,76,usa,amc matador
395,32.0,4,135.0,84.0,2295,11.6,82,usa,dodge rampage
187,17.5,8,305.0,140.0,4215,13.0,76,usa,chevrolet chevelle malibu classic
169,20.0,6,232.0,100.0,2914,16.0,75,usa,amc gremlin
58,25.0,4,97.5,80.0,2126,17.0,72,usa,dodge colt hardtop
48,18.0,6,250.0,88.0,3139,14.5,71,usa,ford mustang
344,39.0,4,86.0,64.0,1875,16.4,81,usa,plymouth champ
235,26.0,4,97.0,75.0,2265,18.2,77,japan,toyota corolla liftback
252,19.2,6,231.0,105.0,3535,19.2,78,usa,pontiac phoenix lj
21,24.0,4,107.0,90.0,2430,14.5,70,europe,audi 100 ls
313,28.0,4,151.0,90.0,2678,16.5,80,usa,chevrolet citation
160,17.0,6,231.0,110.0,3907,21.0,75,usa,buick century
276,21.6,4,121.0,115.0,2795,15.7,78,europe,saab 99gle
191,22.0,6,225.0,100.0,3233,15.4,76,usa,plymouth valiant
293,31.9,4,89.0,71.0,1925,14.0,79,europe,vw rabbit custom
343,39.1,4,79.0,58.0,1755,16.9,81,japan,toyota starlet
257,19.4,6,232.0,90.0,3210,17.2,78,usa,amc concord
308,33.5,4,151.0,90.0,2556,13.2,79,usa,pontiac phoenix
149,24.0,4,120.0,97.0,2489,15.0,74,japan,honda civic
130,26.0,4,122.0,80.0,2451,16.5,74,usa,ford pinto
151,31.0,4,79.0,67.0,2000,16.0,74,europe,fiat x1.9
359,28.1,4,141.0,80.0,3230,20.4,81,europe,peugeot 505s turbo diesel
99,18.0,6,232.0,100.0,2945,16.0,73,usa,amc hornet
372,27.0,4,151.0,90.0,2735,18.0,82,usa,pontiac phoenix
87,13.0,8,350.0,145.0,3988,13.0,73,usa,chevrolet malibu
330,40.9,4,85.0,,1835,17.3,80,europe,renault lecar deluxe
214,13.0,8,302.0,130.0,3870,15.0,76,usa,ford f108
121,15.0,8,318.0,150.0,3399,11.0,73,usa,dodge dart custom
397,31.0,4,119.0,82.0,2720,19.4,82,usa,chevy s-10
20,25.0,4,110.0,87.0,2672,17.5,70,europe,peugeot 504
188,16.0,8,318.0,150.0,4190,13.0,76,usa,dodge coronet brougham
71,19.0,3,70.0,97.0,2330,13.5,72,japan,mazda rx2 coupe
106,12.0,8,350.0,180.0,4499,12.5,73,usa,oldsmobile vista cruiser
270,21.1,4,134.0,95.0,2515,14.8,78,japan,toyota celica gt liftback
348,37.7,4,89.0,62.0,2050,17.3,81,japan,toyota tercel
102,26.0,4,97.0,46.0,1950,21.0,73,europe,volkswagen super beetle
